Entity;Code;Year;GDP per capita growth (annual %)
France;FRA;1993;-1,058288097
France;FRA;1994;1,978009462
France;FRA;1995;1,738505602
France;FRA;1996;1,054560184
France;FRA;1997;1,97492981
France;FRA;1998;3,207526445
France;FRA;1999;2,890692472
France;FRA;2000;3,214280605
France;FRA;2001;1,244188786
France;FRA;2002;0,402714819
France;FRA;2003;0,111081742
France;FRA;2004;2,07536459
France;FRA;2005;0,899764538
France;FRA;2006;1,737540007
France;FRA;2007;1,792982221
France;FRA;2008;-0,303759664
France;FRA;2009;-3,371737242
France;FRA;2010;1,447008133
France;FRA;2011;1,699612975
France;FRA;2012;-0,171206728
France;FRA;2013;0,059916381
France;FRA;2014;0,479077578
France;FRA;2015;0,754024327
France;FRA;2016;0,82905668
France;FRA;2017;1,994998455
France;FRA;2018;1,585878849
France;FRA;2019;1,620358467
France;FRA;2020;-8,034379005
Germany;DEU;1971;2,943650246
Germany;DEU;1972;3,802475929
Germany;DEU;1973;4,44801712
Germany;DEU;1974;0,850760341
Germany;DEU;1975;-0,496434242
Germany;DEU;1976;5,400212288
Germany;DEU;1977;3,581437111
Germany;DEU;1978;3,098181725
Germany;DEU;1979;4,104331493
Germany;DEU;1980;1,198693871
Germany;DEU;1981;0,376242518
Germany;DEU;1982;-0,300057828
Germany;DEU;1983;1,8390342
Germany;DEU;1984;3,178987265
Germany;DEU;1985;2,556883574
Germany;DEU;1986;2,240535021
Germany;DEU;1987;1,246499658
Germany;DEU;1988;3,302863836
Germany;DEU;1989;3,096179962
Germany;DEU;1990;4,351639271
Germany;DEU;1991;4,345220089
Germany;DEU;1992;1,151046276
Germany;DEU;1993;-1,625684261
Germany;DEU;1994;2,037354231
Germany;DEU;1995;1,246141911
Germany;DEU;1996;0,514437258
Germany;DEU;1997;1,64333427
Germany;DEU;1998;1,998485327
Germany;DEU;1999;1,821428061
Germany;DEU;2000;2,773221254
Germany;DEU;2001;1,510558248
Germany;DEU;2002;-0,365628332
Germany;DEU;2003;-0,755077183
Germany;DEU;2004;1,19705534
Germany;DEU;2005;0,788917124
Germany;DEU;2006;3,933610439
Germany;DEU;2007;3,114245892
Germany;DEU;2008;1,152029753
Germany;DEU;2009;-5,454576969
Germany;DEU;2010;4,339606762
Germany;DEU;2011;5,869635582
Germany;DEU;2012;0,230160996
Germany;DEU;2013;0,163870558
Germany;DEU;2014;1,784341931
Germany;DEU;2015;0,617105365
Germany;DEU;2016;1,408102036
Germany;DEU;2017;2,297206163
Germany;DEU;2018;0,782690048
Germany;DEU;2019;0,827864766
Germany;DEU;2020;-4,647544861
Iraq;IRQ;1969;-0,255217046
Iraq;IRQ;1970;1,040637612
Iraq;IRQ;1971;1,903029799
Iraq;IRQ;1972;0,370570958
Iraq;IRQ;1973;1,069740772
Iraq;IRQ;1974;12,40607452
Iraq;IRQ;1975;8,904340744
Iraq;IRQ;1976;13,44590473
Iraq;IRQ;1977;-1,316669106
Iraq;IRQ;1978;13,42876339
Iraq;IRQ;1979;17,23719978
Iraq;IRQ;1980;21,15145683
Iraq;IRQ;1981;-3,490876436
