Entity;Code;Year;Cantril ladder score
Iraq;IRQ;2007;4,7753167
Iraq;IRQ;2008;5,065462
Iraq;IRQ;2009;4,725366
Iraq;IRQ;2010;4,6595087
Iraq;IRQ;2011;4,725017
Iraq;IRQ;2012;4,5415025
Iraq;IRQ;2013;4,493377
Iraq;IRQ;2014;4,412537
Iraq;IRQ;2015;4,462399
Iraq;IRQ;2016;4,8864007
Iraq;IRQ;2018;4,7851653
Iraq;IRQ;2019;4,8541
Iraq;IRQ;2020;4,9409
Iraq;IRQ;2021;4,9409
Lebanon;LBN;2003;5,4912453
Lebanon;LBN;2004;4,653104
Lebanon;LBN;2006;4,594851
Lebanon;LBN;2007;5,205999
Lebanon;LBN;2008;5,0318995
Lebanon;LBN;2009;5,1875715
Lebanon;LBN;2010;4,572567
Lebanon;LBN;2011;4,983289
Lebanon;LBN;2012;5,2330256
Lebanon;LBN;2013;5,1719713
Lebanon;LBN;2014;5,270724
Lebanon;LBN;2015;5,15399
Lebanon;LBN;2016;5,1671867
Lebanon;LBN;2017;4,0242195
Lebanon;LBN;2019;4,5838
Lebanon;LBN;2020;2,9553
Lebanon;LBN;2021;2,3922
Russia;RUS;2004;4,9637427
Russia;RUS;2005;5,2228675
Russia;RUS;2006;5,618754
Russia;RUS;2007;5,158228
Russia;RUS;2008;5,3847733
Russia;RUS;2009;5,3887663
Russia;RUS;2010;5,6207356
Russia;RUS;2011;5,5371776
Russia;RUS;2012;6,036977
Russia;RUS;2013;5,9955387
Russia;RUS;2014;5,8549457
Russia;RUS;2015;5,578743
Russia;RUS;2016;5,5135
Russia;RUS;2017;5,4405236
Russia;RUS;2018;5,495289
Russia;RUS;2019;5,4772
Russia;RUS;2020;5,4586
Russia;RUS;2021;5,6607
Spain;ESP;2003;7,152786
Spain;ESP;2005;6,9946146
Spain;ESP;2006;7,2944727
Spain;ESP;2007;6,1986012
Spain;ESP;2008;6,1882625
Spain;ESP;2009;6,518249
Spain;ESP;2010;6,2906904
Spain;ESP;2011;6,1500273
Spain;ESP;2012;6,4564776
Spain;ESP;2013;6,3806634
Spain;ESP;2014;6,318612
Spain;ESP;2015;6,230173
Spain;ESP;2016;6,513371
Spain;ESP;2017;6,4574494
Spain;ESP;2018;6,5021753
Spain;ESP;2019;6,4907
Spain;ESP;2020;6,4763
Spain;ESP;2021;6,4362
Syria;SYR;2006;5,3233323
Syria;SYR;2007;4,9789705
Syria;SYR;2008;4,464708
Syria;SYR;2009;4,0378895
Syria;SYR;2010;3,1644912
Syria;SYR;2011;2,687553
Syria;SYR;2013;3,4619129
Turkey;TUR;2003;4,718734
Turkey;TUR;2005;5,6234717
Turkey;TUR;2006;5,118232
Turkey;TUR;2007;5,2128415
Turkey;TUR;2008;5,4903474
Turkey;TUR;2009;5,271944
Turkey;TUR;2010;5,3090763
Turkey;TUR;2011;4,8881774
Turkey;TUR;2012;5,5797944
Turkey;TUR;2013;5,5144653
Turkey;TUR;2014;5,326222
Turkey;TUR;2015;5,607262
Turkey;TUR;2016;5,1856894
Turkey;TUR;2017;4,8720737
Turkey;TUR;2018;4,861554
Turkey;TUR;2019;4,9476
Turkey;TUR;2020;4,7442
Turkey;TUR;2021;4,6135
United Kingdom;GBR;2003;6,9835567
United Kingdom;GBR;2005;6,801931
United Kingdom;GBR;2006;6,9864635
United Kingdom;GBR;2007;6,906547
United Kingdom;GBR;2008;7,029364
United Kingdom;GBR;2009;6,869249
United Kingdom;GBR;2010;6,880784
United Kingdom;GBR;2011;6,918055
United Kingdom;GBR;2012;6,7581477
United Kingdom;GBR;2013;6,515445
United Kingdom;GBR;2014;6,8242836
United Kingdom;GBR;2015;7,1032734
United Kingdom;GBR;2016;7,233445
United Kingdom;GBR;2017;7,157151
United Kingdom;GBR;2018;6,7981772
United Kingdom;GBR;2019;7,0636
United Kingdom;GBR;2020;6,9425
United Kingdom;GBR;2021;6,7956
United States;USA;2004;7,1817937
United States;USA;2005;7,5126877
United States;USA;2006;7,280386
United States;USA;2007;7,1580324
United States;USA;2008;7,163616
United States;USA;2009;7,1151385
United States;USA;2010;7,026227
United States;USA;2011;7,249285
United States;USA;2012;7,1511145
United States;USA;2013;6,863947
United States;USA;2014;6,8036
United States;USA;2015;6,9917593
United States;USA;2016;6,8826847
United States;USA;2017;6,9437013
United States;USA;2018;7,028088
United States;USA;2019;6,9515
United States;USA;2020;6,9768
United States;USA;2021;6,8937
Yemen;YEM;2005;4,477133
Yemen;YEM;2007;4,809259
Yemen;YEM;2008;4,3503127
Yemen;YEM;2009;3,7462556
Yemen;YEM;2010;4,0606008
Yemen;YEM;2011;4,2176785
Yemen;YEM;2012;3,967958
Yemen;YEM;2013;2,982674
Yemen;YEM;2014;3,825631
Yemen;YEM;2015;3,25356
Yemen;YEM;2016;3,057514
Yemen;YEM;2017;4,196913
Yemen;YEM;2019;3,6579
Yemen;YEM;2020;4,1969
